group,entity,sentence,span1L,span1R
metonymic,Canada,"christie will run the anchor leg after canada 's bailey , american johnson and olympic silver medallist fredericks have run the first three stages of the relay .",7.0,8.0
literal,Afghanistan,""" a great game has been started in afghanistan as america feels that tehran and moscow have got stronger in the afghan picture -- something washington wants to change , "" he said .",8.0,9.0
literal,UK,"and for good measure , it should be noted that the eco long ago expressed his own conclusion that settlement in the uk was the intention in this case .",22.0,23.0
literal,Islamabad,sharif said similar rallies would be held in the balochistan provincial capital quetta and the punjab provincial capital lahore before an opposition march on the capital islamabad .,26.0,27.0
literal,Oman,"a u .s . embassy spokesman in riyadh said specter , who arrived from neighbouring oman on sunday and left on monday , had talks with saudi and american officials in dhahran , where 19 u .s . airmen were killed by a fuel truck bomb on june 25 , and riyadh .",15.0,16.0
literal,Kabul,a spokesman for masood said he had told the california republican at a meeting in northern kabul that president burhanuddin rabbani's government favoured talks with all afghan factions to set up an interim government .,16.0,17.0
literal,Doboj,"the refugees , rallying in matuzici on government territory two km from doboj in northeast bosnia , waved banners calling the polls a farce staged by the united nations and the european union . """,12.0,13.0
literal,London,1909 - the world's first boy scout rally was held at crystal palace near london .,14.0,15.0
literal,Whittier,"dan jewell of the whittier , alaska police department described phan as "" extremely cooperative "" . """,4.0,5.0
metonymic,Colombia,a top judicial official and critic of president ernesto samper accused the government of indifference on wednesday over efforts to lift colombia 's five-year-old ban on extradition .,21.0,22.0
metonymic,England,"after bowling somerset out for 83 on the opening morning at grace road , leicestershire extended their first innings by 94 runs before being bowled out for 296 with england discard andy caddick taking three for 83 .",29.0,30.0
literal,U.S.,"dutch shares drifted to a lower close on monday , dragged down by weakness in the domestic bond market and turnover depressed by the uk bank holiday and lack of any significant u .s . economic data .",32.0,34.0
literal,Chechnya,"but lebed himself , the kremlin security chief , is still waiting back in moscow to meet yeltsin over his plans for a lasting political settlement in chechnya .",27.0,28.0
metonymic,Rome,"he has recently dropped a drive for federalism , saying secession from rome 's wasteful and centralised bureaucracy is the only solution for northerners .",12.0,13.0
metonymic,Britain,"but he added that new research into the dynamics of the bovine spongiform encephalopathy ( bse ) , a fatal brain-wasting disease suffered by cattle , was unlikely to alter a slaughter plan agreed by britain and its 14 eu partners .",35.0,36.0
literal,China,""" the move is expected to give a shot in the arm to the economic expansion of guangxi and southwest china as a whole , "" the agency said but gave no further details .",20.0,21.0
literal,Breisach,"charles ceded alsace and strasbourg to france and got back breisach , kehl and freiburg .",10.0,11.0
literal,Hong Kong,"britain hands hong kong back to china at midnight on june 30 , 1997 , after 150 years of colonial rule .",2.0,4.0
literal,Europe,before the match deportivo chairman augusto lendoiro said he would ignore a fifa decision banning brazilian midfielder mauro silva from playing in the match for failing to join his national side's tour of europe .,33.0,34.0
literal,Europe,"united have dominated the premier league in the 1990s , winning three english championships in four years , but have consistently failed in europe , crashing out of the european cup to galatasaray of turkey and spain's barcelona at their last two attempts .",23.0,24.0
literal,Chechnya,"yeltsin had told kohl about efforts to find a political solution to the conflict in russia's breakaway chechnya region , interfax added .",17.0,18.0
literal,Mexico,"under the proposal , only imports of export-quality avocados growing in approved orchards in michoacan , mexico , the country's main avocado area , would be allowed .",16.0,17.0
metonymic,France,"the victory extended to 29 matches france 's unbeaten run under coach aime jacquet , their euro 96 semifinal elimination having come in a penalty shoot-out , but was marred by the sending-off of chelsea central defender franck leboeuf .",6.0,7.0
metonymic,England,england have been given a final chance to remain in the five nations' championship despite striking an exclusive television deal with rupert murdoch's sky television .,0.0,1.0
metonymic,Edwina Currie,"pro-european conservative mp edwina currie told the bbc that if clarke resigned , other ministers would go with him .",3.0,5.0
literal,Iraq,"iranian troops on saturday entered kurdish-controlled northern iraq in the wake of an assault backed by baghdad into the region , an iraqi kurdish group told reuters .",7.0,8.0
literal,Cairo,"chairman mohamed fahim rayyan told a news conference at cairo airport : "" the control tower should have allocated the plane another runway , instead of the one the plane landed on . """,9.0,10.0
literal,America,and america 's hard-pressed banks are in no mood for adventurous lending .,1.0,2.0
literal,Ivory Coast,peace talks in ivory coast began in february .,3.0,5.0
literal,Addis Ababa,ethiopia needed a penalty shoot-out in addis ababa to overcome uganda after a 2-2 aggregate scoreline .,6.0,8.0
metonymic,Iraq,zhirinovsky said on tuesday he would press the russian government to help end u .n . trade sanctions on iraq and blamed moscow for delaying establishment of good ties with baghdad .,19.0,20.0
literal,Detroit,"in detroit , jim thome's solo homer in the ninth inning snapped a tie and charles nagy pitched a three-hitter for his first win in over a month , leading the cleveland indians to their 11th straight victory over the detroit tigers , 2-1 .",1.0,2.0
literal,Thailand,"two thai border policemen were seriously wounded on sunday when members of a burmese rebel splinter faction ambushed their patrol in northwest thailand , security officers said .",22.0,23.0
literal,London,the hijackers told the crew they had grenades and other explosives and threatened to blow up the plane if they were not taken to london .,24.0,25.0
metonymic,Burj al-Laqlaq Society,"canada had recently donated $ 30 million to the centre , called the burj al-laqlaq society .",13.0,16.0
literal,West Bank,jordanian pm kabariti leaves for west bank .,5.0,7.0
literal,Sullivan's Island,"the foot , which washed up on sullivan's island beach this month , was amputated three years ago from a child whose legs were deformed .",7.0,9.0
metonymic,South Korea,"south korea in 1993 unconditionally repatriated li in-mo , a nothern partisan seized by the south during the war and jailed for more than three decades .",0.0,2.0
literal,Tajikistan,"tajikistan , which borders afghanistan and china , has been split by a dragging four-year conflict after a civil war between communists and a frail coalition of islamic and liberal groups .",0.0,1.0
literal,Belgium,charleroi (belgium ) 75 estudiantes madrid (spain) 82 (34-35),1.0,2.0
literal,Britain,"imports would surge while exports stagnated , swelling britain 's current-account deficit to unsustainable levels .",8.0,9.0
metonymic,Australia,"australia - mark waugh , michael slater , ricky ponting , steve waugh , stuart law , michael bevan , ian healy ( captain ) , brad hogg , paul reiffel , damein fleming , glenn mcgrath .",0.0,1.0
